기준_년분기_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수
20211,39803,19731,20070
20212,43678,21587,22090
20213,38873,19579,19294
20214,47268,23314,23954
20221,42212,21047,21165
20222,48615,24126,24489
20223,51807,25111,26697
20224,51899,25475,26424
20231,50218,25050,25169
20232,50316,24882,25434
20233,53536,25639,27896
20234,52200,25251,26949
20241,50283,24713,25570
20242,48787,23827,24958
20243,50218,23749,26470
20244,48353,23197,25157
20251,45735,22462,23273
20252,48989,23803,25186
20253,52266,25177,27087
20254,50908,24440,26468
20261,48674,23913,24761
